provider_ccn,display_name,facility_name,city,county,state,zip_code,cbsa,rural_urban,type_of_control,total_beds,bed_size_band,snf_nf_mix,source_year,fiscal_year,report_days,report_period_status,latest_valid_rule,total_days,average_daily_census,occupancy_rate,medicare_day_share,medicaid_day_share,other_day_share,net_patient_revenue_per_day,operating_expense_per_day,revenue_expense_spread_per_day,patient_service_margin,total_margin,net_income_per_day,salary_cost_per_day,contract_labor_per_day,contract_labor_ratio,total_labor_cost_per_day,labor_cost_share_of_operating_expense,days_cash_on_hand,current_ratio,valid_core_benchmark,data_quality_flags,data_layer_version
465072,AVENUES HEALTHCARE INC. — SALT LAKE CITY (465072),AVENUES HEALTHCARE INC.,SALT LAKE CITY,SALT LAKE,UT,84102,41620,U,11,80,50-99,SNF-dominant,2023,2024,366,plausible,valid_core_plausible_report_period,20733,56.64754098360656,0.708094262295082,0.033376742391356774,0.7607196257174552,0.20590363189118796,380.10770269618484,386.73684464380455,-6.629141947619701,-0.017440167354141528,-0.01689237845069259,-6.420923165967299,187.93739449187285,20.04659238894516,0.09638526835449379,238.19263975305068,0.6159036643442461,1.4158497870161877,4.035185191684713,TRUE,NA,v0.41
465184,BEAVER VALLEY HOSP DBA CASCADES RIVE — MIDVALE (465184),BEAVER VALLEY HOSP DBA CASCADES RIVE,MIDVALE,SALT LAKE,UT,84047,41620,U,11,120,100-149,SNF-dominant,2023,2024,366,plausible,valid_core_plausible_report_period,37533,102.54918032786885,0.8545765027322404,0.08805584419044574,0.6756987184610875,0.23624543734846667,485.3637598912957,488.1413422854555,-2.777582394159822,-0.005722681880455777,-5.879072904785697e-4,-0.2853488929741827,155.78056643487065,NA,NA,181.26041083846215,0.371327718299395,18.19299618277175,1.3041340372357788,TRUE,NA,v0.41
465057,BEAVER VALLEY HOSPITAL (FOUR CORNERS — BLANDING (465057),BEAVER VALLEY HOSPITAL (FOUR CORNERS,BLANDING,SAN JUAN,UT,84511,99946,R,9,104,100-149,SNF-dominant,2023,2023,365,plausible,valid_core_plausible_report_period,16839,46.134246575342466,0.44359852476290834,0.07262901597482035,0.8662628422115327,0.06110814181364689,357.83033434289445,357.8305718866916,-2.3754379714091556e-4,-6.638447731766881e-7,NA,NA,102.57200546350734,NA,NA,117.46647663162895,0.32827400971436604,23.849054079912584,0.6240927654180327,TRUE,NA,v0.41
465158,BEAVER VALLEY HOSPITAL (MEADOW BROOK — SOUTH SALT LAKE (465158),BEAVER VALLEY HOSPITAL (MEADOW BROOK,SOUTH SALT LAKE,SALT LAKE,UT,84115,41620,U,9,41,<50,SNF-dominant,2023,2023,365,plausible,valid_core_plausible_report_period,13182,36.11506849315069,0.8808553291012362,0.04164770141101502,0.7988924290699438,0.15945986951904112,424.2409346077985,424.25292064937037,-0.011986041571844908,-2.8252911480409646e-5,NA,NA,96.80048551054468,NA,NA,110.06668183887119,0.25943647405043396,26.763807147498564,1.2602315514151032,TRUE,NA,v0.41
465006,BEAVER VALLEY HOSPITAL (MT OLYMPUS) — SALT LAKE CITY (465006),BEAVER VALLEY HOSPITAL (MT OLYMPUS),SALT LAKE CITY,SALT LAKE,UT,84109,41620,U,9,100,100-149,SNF-dominant,2023,2023,365,plausible,valid_core_plausible_report_period,28002,76.71780821917808,0.7671780821917809,0.04167559460038569,0.542282694093279,0.41604171130633527,394.86454538961505,395.05096064566817,-0.1864152560531238,-4.720992508182828e-4,NA,NA,132.77294478965788,NA,NA,150.95171773444753,0.3821069501710191,23.96328782919373,0.7898435096266322,TRUE,NA,v0.41
465102,BEAVER VALLEY HOSPITAL (PARKDALE) — PRICE (465102),BEAVER VALLEY HOSPITAL (PARKDALE),PRICE,CARBON,UT,84501,99946,R,9,58,50-99,SNF-dominant,2023,2023,365,plausible,valid_core_plausible_report_period,9939,27.23013698630137,0.4694851204534719,0.2371465942247711,0.5918100412516349,0.17104336452359392,414.064996478519,414.0743535566958,-0.009357078176833511,-2.2598090291277235e-5,NA,NA,137.2652178287554,NA,NA,161.0411510212295,0.3889184385315461,22.246234647921206,1.2023522673812106,TRUE,NA,v0.41
465137,BEAVER VALLEY HOSPITAL (RED CLIFFS) — ST GEORGE (465137),BEAVER VALLEY HOSPITAL (RED CLIFFS),ST GEORGE,WASHINGTON,UT,84790,41100,U,9,124,100-149,SNF-dominant,2023,2023,365,plausible,valid_core_plausible_report_period,26166,71.68767123287671,0.5781263809102961,0.11033402124894902,0.5922189100359245,0.2974470687151265,396.328785446763,396.347091645647,-0.01830619888403362,-4.618942543729766e-5,NA,NA,135.42004891844377,NA,NA,155.96453412825804,0.3935049289265321,15.145777314769191,0.597223012010268,TRUE,NA,v0.41
465111,BEAVER VALLEY HOSPITAL (SANDY) — SANDY (465111),BEAVER VALLEY HOSPITAL (SANDY),SANDY,SALT LAKE,UT,84070,41620,U,9,141,100-149,SNF-dominant,2023,2023,365,plausible,valid_core_plausible_report_period,36217,99.22465753424657,0.7037209754201885,0.05991661374492641,0.6724190297374162,0.26766435651765746,442.0076483419389,442.9691857415026,-0.9615373995637242,-0.00217538633815651,NA,NA,129.8516718668029,NA,NA,147.7313968578292,0.3335026489721539,25.29529767316181,0.7623400411874338,TRUE,NA,v0.41
465117,BEAVER VALLEY HOSPITAL (SO OGDEN) — SO OGDEN (465117),BEAVER VALLEY HOSPITAL (SO OGDEN),SO OGDEN,WEBER,UT,84405,36260,U,9,122,100-149,SNF-dominant,2023,2023,365,plausible,valid_core_plausible_report_period,29193,79.98082191780821,0.6555805075230182,0.07751858322200528,0.7661425684239372,0.15633884835405748,378.08704141403763,378.09050114753535,-0.003459733497720663,-9.150627021801595e-6,NA,NA,130.28421196862263,NA,NA,146.66087760764566,0.38789886855797223,19.531157871695974,1.7803804834544599,TRUE,NA,v0.41
465049,BEAVER VALLEY HOSPITAL (SPRING CREEK — HOLLADAY (465049),BEAVER VALLEY HOSPITAL (SPRING CREEK,HOLLADAY,SALT LAKE,UT,84117,41620,U,9,92,50-99,SNF-dominant,2023,2023,365,plausible,valid_core_plausible_report_period,22387,61.33424657534247,0.6666765932102442,0.13226426050833073,0.6882119086970117,0.1795238307946576,426.29039174520926,426.2978961004154,-0.007504355206151558,-1.76038572566086e-5,NA,NA,135.71545986510029,NA,NA,153.75722517532498,0.36068023460079923,30.749586814356235,1.5684203380688164,TRUE,NA,v0.41
